frequency,gain_sch
3.6307805e+10,49.067605
3.7153523e+10,49.517969
3.801894e+10,49.966277
3.8904514e+10,50.412376
3.9810717e+10,50.856112
4.0738028e+10,51.297331
4.1686938e+10,51.735881
4.2657952e+10,52.171609
4.3651583e+10,52.604362
4.4668359e+10,53.033992
4.5708819e+10,53.460347
4.6773514e+10,53.883281
4.7863009e+10,54.302648
4.8977882e+10,54.718305
5.0118723e+10,55.130109
5.1286138e+10,55.537923
5.2480746e+10,55.94161
5.370318e+10,56.341038
5.4954087e+10,56.736078
5.6234133e+10,57.126604
5.7543994e+10,57.512494
5.8884366e+10,57.89363
6.0255959e+10,58.269899
6.16595e+10,58.641191
6.3095734e+10,59.007403
6.4565423e+10,59.368433
6.6069345e+10,59.724188
6.7608298e+10,60.074579
6.9183097e+10,60.419521
7.0794578e+10,60.758936
7.2443596e+10,61.092751
7.4131024e+10,61.420898
7.5857758e+10,61.743318
7.7624712e+10,62.059953
7.9432823e+10,62.370756
8.1283052e+10,62.675683
8.3176377e+10,62.974697
8.5113804e+10,63.267767
8.7096359e+10,63.554869
8.9125094e+10,63.835985
9.1201084e+10,64.111102
9.332543e+10,64.380214
9.5499259e+10,64.643322
9.7723722e+10,64.900431
1e+11,65.151555
